"b_start","panel","analysis_model","config","t1e_A","t1e_B","fwer","alloc_bias_B"
25,"Complete randomization","lm_time","favor_all_exp (eta>0)",0.0274875,0.0287,0.053325,-0.192902978925675
25,"Complete randomization","lm_time","favor_all_exp_2step (eta>0)",0.028375,0.0287875,0.05415,-0.19365446163445
37,"Complete randomization","lm_time","favor_B (eta>0)",0.0253375,0.0279625,0.0515625,-0.26771107076488
37,"Complete randomization","lm_time","favor_B_2step (eta>0)",0.0237,0.0313875,0.05355,-0.26676155168489
37,"Complete randomization","lm_time","favor_all_exp (eta>0)",0.02735,0.0281875,0.053875,-0.266914060032741
37,"Complete randomization","lm_time","favor_all_exp_2step (eta>0)",0.0285625,0.0275375,0.0545125,-0.26728242032346
49,"Complete randomization","lm_time","favor_B (eta>0)",0.0233,0.0284,0.0509,-0.328388343417889
49,"Complete randomization","lm_time","favor_B_2step (eta>0)",0.024975,0.0276875,0.0517375,-0.328226979223657
49,"Complete randomization","lm_time","favor_all_exp (eta>0)",0.027325,0.0267375,0.0531125,-0.328656644708155
49,"Complete randomization","lm_time","favor_all_exp_2step (eta>0)",0.0261625,0.0280875,0.0533375,-0.328661977013696
